State Name,Student Enrolment - Male,Student Enrolment - Female,Student Enrolment - Total,Teaching Staff (Excluding Visiting Teacher) - Male,Teaching Staff (Excluding Visiting Teacher) - Female,Teaching Staff (Excluding Visiting Teacher) - Total,PTR (Equal to 4/7)
Andaman and Nicobar Islands,1566,1557,3123,53,22,75,41.64
Andhra Pradesh,691973,519082,1211055,40395,21875,62270,19.45
Arunachal Pradesh,13186,11586,24772,429,149,578,42.86
Assam,169558,171386,340944,8456,4848,13304,25.63
Bihar,518068,344319,862387,12786,2644,15430,55.89
Chandigarh,27608,33629,61237,945,1474,2419,25.32
Chhatisgarh,164688,150154,314842,8129,6147,14276,22.05
Dadra and Nagar Haveli,2074,1193,3267,66,58,124,26.35
Daman and Diu,1014,754,1768,118,42,160,11.05
Delhi,450211,370221,820432,8089,8642,16731,49.04
Goa,16124,17885,34009,834,1109,1943,17.50
Gujarat,684922,489826,1174748,28706,15128,43834,26.80
Haryana,295663,222764,518427,13512,10232,23744,21.83
Himachal Pradesh,93046,91367,184413,4512,3001,7513,24.55
Jammu and Kashmir,122467,128419,250886,3476,2822,6298,39.84
Jharkhand,136981,114029,251010,3531,1098,4629,54.23
Karnataka,948088,812876,1760964,72004,49538,121542,14.49
Kerala,252825,341254,594079,16784,20169,36953,16.08
Lakshadweep,219,559,778,35,24,59,13.19
Madhya Pradesh,692945,416982,1109927,18203,13246,31449,35.29
Maharashtra,1404628,1008498,2413126,63808,36786,100594,23.99
Manipur,39065,39201,78266,2186,1743,3929,19.92
Meghalaya,16127,17684,33811,839,978,1817,18.61
Mizoram,13086,12315,25401,839,617,1456,17.45
Nagaland,23013,16217,39230,822,815,1637,23.96
Odisha,186526,137937,324463,11779,4679,16458,19.71
Puducherry,17187,15447,32634,2286,1482,3768,8.66
Punjab,201081,147348,348429,9083,7965,17048,20.44
Rajasthan,532409,311746,844155,18612,10292,28904,29.21
Sikkim,12071,10682,22753,699,464,1163,19.56
Tamil Nadu,1674821,1430187,3105008,89948,79011,168959,18.38
Telangana,537494,442984,980478,30209,20406,50615,19.37
Tripura,32276,23393,55669,1415,648,2063,26.98
Uttar Pradesh,1211487,1059729,2271216,39295,19664,58959,38.52
Uttrakhand,138710,127645,266355,6103,2858,8961,29.72
West Bengal,856041,641013,1497054,27497,13663,41160,36.37
All India,12179248,9681868,21861116,546483,364339,910822,24.00
